Ref,Paper Title,Theme,Subtheme,Domain,Sample Size,Study Design,Study Type,main_contribution,tries_to_help_users_to,process_code,publication_type,year
P38,Aquilis: Using Contextual Integrity for Privacy Protection on Mobile Devices,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,51,Within-subjects design,Laboratory Experiment,"Present Aquilis, a system designed to enhance the privacy awareness of users at the source. Aquilis takes the form of a context-aware keyboard that continuously analyses the input and informs users about the potential privacy risk based on the theory of contextual integrity",improve their privacy awareness online,"raising privacy awareness, calculating privacy risk",Conference Paper,2020
P39,Assisting humans in privacy management: an agent-based approach,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Develop a novel privacy model to learn and recommend privacy settings of images in OSNs. User agents predict privacy settings for new images based on past user preferences and, if uncertain, analyse the sharing behaviour of the user's network to recommend privacy levels.",manage privacy settings of images,"managing OSN privacy settings, recommending privacy settings, configuring privacy settings for image-based posts",Journal Article,2021
P40,Automated and Personalized Privacy Policy Extraction under GDPR Consideration,Improving Privacy Policy,Improving Privacy Policy Readability,Software applications,96,Within-subjects design,Online Experiment,A system to automatically predict and extract app’s privacy policies with personalized privacy concerns. It learns users’ privacy concerns and automatically extracts corresponding descriptions and GDPR items from privacy policies when users use different kinds of mobile apps.,make decisions with enough privacy awareness,"parsing privacy policies, making informed decision",Conference Paper,2019
P41,Automated Categorization of Privacy Policies Based on User Perspective,Improving Privacy Policy,Improving Privacy Policy Readability,Software applications,-,-,-,"Propose an approach to convey privacy policies in a way that a common user can comprehend. They propose a question-answering model, which can automatically read and classify privacy policy documents and answer questions accordingly. The proposed solution makes awareness and gives an insight to mobile app users on their data privacy","be immediately aware of the privacy threats that are lurking in the shadows of the privacy policies, and allow them to take informed decisions about their rights","improving comprehensibility of privacy policies, making informed decision, parsing privacy policies, raising privacy awareness",Conference Paper,2021
P42,Automated privacy negotiations with preference uncertainty,Controlling Information Disclosure,Managing Privacy Settings,Software applications,132,Between-subjects design,Laboratory Experiment,Propose a novel agent-based negotiation framework to negotiate privacy permissions between users and service providers using a new multi-issue alternating-offer protocol based on exchanges of partial and complete offers,reduce the number of data sharing requests that the user needs to process manually,"negotiating permissions, configuring permissions automatically",Journal Article,2022
P43,Automated Privacy Preferences for Smart Home Data Sharing Using Personal Data Stores,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,304,NA,Online Survey,Propose a new form of privacy setting recommendation architecture in which the system aims to understand the user's situational context. The recommender advises on data-sharing requests and integrates them within a system architecture that combines Personal Data Stores (PDSs) and IoT devices for context-aware dynamic decision-making.,make data-sharing decisions to avoid unintended privacy mishaps,"recommending privacy settings, making informed decision, managing privacy settings in smart devices",Journal Article,2021
P44,Automatic assessment of privacy policies under the GDPR,Improving Privacy Policy,Advancing Privacy Policy Assessment,Online Services,-,-,-,Propose a system that automatically assesses how respectful a privacy policy is with the data protection goals stated by the GDPR. It quantifies the degree of policy compliance with respect to the data protection goals stated by the GPDR and presents clear and intuitive privacy scores to the user.,be aware of the privacy threats and take informed decisions when accepting (or not) the terms of a service.,"assessing privacy policies, making informed decision",Journal Article,2021
P45,Automatic generation of explanations to prevent privacy violations,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,Propose a method to automatically generate explanations to prevent privacy violations. The method proposed uses all the available information from the social network and the mechanisms provided by the argumentation framework to properly generate explanations for preventing a potential privacy violation when publishing content.,improve their awareness on the potential consequences of their publications.,"raising privacy awareness, nudging privacy behaviour",Conference Paper,2019
P46,Automatic Permission Optimization Framework for Privacy Enhancement of Mobile Applications,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Propose Permizer - an automatic permission optimization framework, to recommend different app permission configurations to users with different privacy preferences.",achieve a better management of permission requests from numerous IoT applications,"managing app permission requests, recommending permission settings",Journal Article,2020
P47,Automating Contextual Privacy Policies: Design and Evaluation of a Production Tool for Digital Consumer Privacy Awareness,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,70,Within-subjects design,Field Study,"Present the design and architecture of PrivacyInjector, a production automatic injection tool for Contextual Privacy Policies (CPPs). The tool automatically detects and displays concrete privacy policy information relevant to the context of use","transform how they interact with privacy policy information enabling them to make more informed decisions, understanding the consequences of their online activities","making informed decision, parsing privacy policies, raising privacy awareness, interacting with privacy policies",Conference Paper,2022
P48,Autonomous Permission Recommendation,Controlling Information Disclosure,Managing App Permissions,Software applications,37,Within-subjects design,Field Study,"Propose an autonomous permission recommendation system, AutoPer+, to automatically recommend user permission decisions at runtime. 
It uses a multi-topic model and a topic-permission mapper, combined with a deep semi-supervised LSTM neural network, to offer balanced privacy-utility recommendations with explanations.",make permission decisions by capturing a tradeoff between privacy and utility,"managing permission app requests, recommending permission settings, making informed decision",Journal Article,2020
P49,Better the Devil You Know: Exposing the Data Sharing Practices of Smartphone Apps,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,30,Between-subjects design,Laboratory Experiment,"Designed and prototyped a new class of privacy indicators, called Data Controller Indicators (DCIs), that expose previously hidden information flows out of the apps. It also presents personalised DCIs, which assess the privacy risk of installing new apps based on previously accessed personal data.",reason effectively about the differential impacts on their overall information exposure,"raising privacy awareness,  visualizing privacy information, assessing privacy risk",Conference Paper,2017
P50,Calculation of account reachability risk for users having multiple SNS accounts from user’s profile and regional information,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,6,NA,Laboratory Experiment,"Propose the use of account reachability, a measure of privacy risk which demonstrates the possibility of a stranger finding a user’s private account based on information in their public account. In addition, they present ARChecker, a tool to calculate the value of account reachability. ",be protected of cyberstalkers,"calculating privacy risk, protecting from cyberstalkers",Journal Article,2015
P51,Cardea: Context–Aware Visual Privacy Protection for Photo Taking and Sharing,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,18,NA,Laboratory Experiment,"Propose Cardea, a context–aware visual privacy protection mechanism that can provide fine–grained privacy protection service for recorders who want to respect others’ visual privacy in the process of photo taking, and for users of social media and networking sites at the stage of photo sharing.","express their context–dependent privacy preferences in terms of location, scenes, others’ presences, and use specific hand gestures to dynamically change their preferences","managing multiparty privacy, configuring privacy settings automatically, managing OSN privacy settings,",Conference Paper,2018
P52,CFPRS: Collaborative Filtering Privacy Recommender System for Online Social Networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,Propose a privacy recommender system using a collaborative filtering technique that users can employ to scan their privacy level and provide them with recommendations and guidance to minimize privacy violations.,adjust his privacy settings according to the group of people and culture he belongs to,"managing OSN privacy settings, recommending privacy settings",Journal Article,2013
P53,Collaborative privacy management,Improving Privacy Policy,Advancing Privacy Policy Assessment,Online Services,26,NA,Task Analysis,"Present a usable privacy community, which facilitates the collaborative exchange of privacy-relevant information and ratings about service providers, including their adherence to stated privacy policies.",make a more informed decision about the disclosure and management of personal data,"controlling information disclosure, making informed decision, exchanging privacy-relevant information collaboratively, rating adherence to stated privacy policies",Journal Article,2010
P54,Collaborative privacy management: mobile privacy beyond your own devices,Controlling Information Disclosure,Managing Multiparty Privacy,Software applications,-,-,-,Introduces the concept of collaborative privacy management to protect the privacy of not only data owners but also data involvers on mobile devices,specify their privacy requirements and enforce them collaboratively in a distributed manner,"managing multiparty privacy, managing privacy collaboratively",Conference Paper,2014
P55,Configuring Audience-Oriented Privacy Policies,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,28,Within-subjects design,Laboratory Experiment,"Propose AudienceView, an alternative privacy policy interface to provide a better mental model and visual feedback for privacy management on social network sites",improve performance and confidence levels in modifying privacy settings,managing OSN privacy settings,Conference Paper,2009
P56,Consent recommender system: A case study on LinkedIn settings,Controlling Information Disclosure,Managing Privacy Settings,Online Services,50,NA,Survey,"Propose a 'consent recommender system' based on Factorization Machines (FMs) to assist the data subject. It investigates consent fatigue caused by excessive information and the need for frequent decision-making regarding privacy settings. The authors developed a consent recommender system for LinkedIn to help users, particularly new ones without previous privacy settings history, efficiently identify and adjust their privacy preferences.",avoid consent fatigue due to information overload and frequent decision making,"avoiding consent fatigue, managing consent requests, managing privacy settings, making informed decision",Conference Paper,2019
P57,Context Adaptive Personalized Privacy for Location-based Systems,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Propose a context-adaptive and personalized privacy-preserving system (CAPPPS) for Location-based services (LBSs). It adapts to the changes in location, date, and time as the user context. The system adjusts privacy parameters for mobile device location concerning user privacy requirements while using a location-based system (LBS).",define their privacy levels based on context information,"managing location privacy settings, defining privacy levels",Conference Paper,2022
P58,Contextualizing Privacy Decisions for Better Prediction (and Protection),Controlling Information Disclosure,Managing App Permissions,Software applications,37,NA,Experience Sampling Method (ESM),"Implement a novel privacy management system in Android, in which we use contextual signals to build a classifier that predicts user privacy preferences under various scenarios.",make privacy decisions on mobile phone platforms,"managing app permission requests, recommending permission settings, making informed decision",Conference Paper,2018
P59,Controlling privacy disclosure of third party applications in online social networks,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Propose PBAC (permission-based access control), a practical model based on the defined permission policies is proposed to manage users information accessed by third party applications in OSNs and improve user awareness in sharing sensitive information with them.",understand the privacy risks in sharing sensitive profile information with third parties,"raising privacy awareness, controlling data disclosure, managing OSN privacy settings",Journal Article,2016
P60,CoPE: Enabling collaborative privacy management in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,80,NA,TAM,"Propose a simple, yet effective, mechanism to support joint management of shared content among users who post content in OSNs and users whose private information is revealed in the posted content.",collaboratively control their shared personal information,managing multiparty privacy,Journal Article,2011
P61,DAPIS: An ontology-based data protection icon set,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,42,NA,Workshop,"Present DaPIS, a machine-readable Data Protection Icon Set that was designed following human-centered methods drawn from the emerging discipline of Legal Design. Icons can thus serve as information markers in lengthy privacy (policy) statements and support an efficient document navigation.",have in a clearly legible manner a meaningful overview of the intended processing,"improving comprehensibility of privacy policies, supporting the reading of privacy policies, marking information in privacy policies with icons",Conference Paper,2018
P62,Data Dashboard: Exploring Centralization and Customization in Personal Data Curation,Raising Privacy Awareness,Visualising Disclosed Information,Online Services,18,Mixed,Laboratory Experiment,"Present data Dashboard, a centralised and customisable system for curating personal data, which provides: 1) a centralised overview of data from across platforms and devices, 2) customisable filters for sorting through many types of data",better curate her data,"visualising disclosed information, curating personal data",Conference Paper,2020
P63,Data-driven privacy indicators,Controlling Information Disclosure,Managing App Permissions,Software applications,160,Between-subjects design,Online Experiment,"Present Data-Driven Privacy Indicators (DDPIs) for 3rd party cloud apps. DDPIs are realized through analyzing user’s data by a trusted party (e.g., the app platform) and integrating the analysis results in the privacy indicator’s interface. The visualisation indicate to the user what the app can concretely extract about her or whether the app vendor already has access to her data.",make more informed decisions while minimising the habituation effect of privacy notices,"raising privacy awareness, making informed decision, managing app permission requests",Conference Paper,2016
P64,Deep Learning-Based User Privacy Settings Recommendation in Online Social Networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Propose a deep learning-based method termed PrivacyRec to recommend privacy settings to users. PrivacyRec utilises deep representations of users' OSN profiles, combining multiple features via an attention layer to predict privacy setting preferences for various attributes.",configure privacy settings,"managing OSN privacy settings, recommending privacy settings, predicting privacy settings preferences",Conference Paper,2022
P65,Default privacy setting prediction by grouping user’s attributes and settings preferences,Controlling Information Disclosure,Managing Privacy Settings,Online Services,10000,NA,Online Survey,Proposed and evaluated the applicability of SVM-based models to predict default privacy settings of users at the time of registration to service providers.,set their default privacy settings at the time of registration to Internet services,recommending privacy settings,Journal Article,2017
P66,Design and implementation of a CBR-based privacy agent,Controlling Information Disclosure,Managing Privacy Settings,Online Services,15,NA,Focus Group,"Present Privacy Advisor, a software based on Case-Based Reasoning (CBR), which relies on the ability to identify similar situations from the past and use these to provide recommendations in new situations.",manage privacy online through similarity of privacy practices,recommending privacy settings,Conference Paper,2012
P67,Designing a GDPR-Compliant and Usable Privacy Dashboard,Raising Privacy Awareness,Visualising Disclosed Information,Online Services,3,NA,Task Analysis,"Present the design, implementation, and evaluation of a privacy dashboard for data subjects intending to enable and ease the execution of data privacy rights granted by the GDPR, especially the transparency requirement. The privacy dashboard acts as an intermediary for data subjects and controllers, facilitating delayed responses to rectification, erasure, or consent withdrawal requests and enabling controllers to seek consent for additional data processing purposes, primarily serving as an ex-post tool with the potential for ex-ante capabilities.",execute data privacy rights with the tool,"exercising privacy rights, visualising disclosed information",Conference Paper,2018
