Timestamp,Você concorda em participar deste estudo?,Qual era seu nível de familiaridade com temas relacionados à proteção de dados pessoais (como LGPD/GDPR)?,Qual sua formação acadêmica?,Qual sua área de formação?,"Você já atua ou atuou profissionalmente na área de desenvolvimento de software ou áreas afins (ex: desenvolvedor, analista, PO, UX, testes, suporte técnico, banco de dados, consultor)?",As diretrizes facilitaram a proposição de melhorias no sistema analisado.,Foi fácil identificar diretrizes que se relacionavam aos problemas identificados.,As diretrizes são adequadas a contextos reais de sistemas digitais.,O uso das diretrizes facilitou o entendimento da aplicação dos princípios e direitos legais de proteção de dados pessoais.,"Sinto que agora consigo desenvolver sistemas digitais melhores, considerando práticas de proteção de dados.",Eu acho que gostaria de usar esse catálogo com frequência,Eu acho o catálogo desnecessariamente complexo.,Eu achei o catálogo fácil de usar.,Eu acho que precisaria de ajuda de uma pessoa com conhecimentos técnicos para usar esse catálogo.,Eu acho que as várias funções do catálogo estão muito bem integradas.,Eu acho que o catálogo apresenta muita inconsistência.,Eu imagino que as pessoas aprenderão como usar esse catálogo rapidamente.,Eu achei o catálogo não prático de usar.,Eu me senti confiante ao usar o catálogo.,Eu precisei aprender várias coisas novas antes de conseguir usar o catálogo.,"Gostaria de deixar algum comentário sobre o uso do catálogo, sua experiência com a atividade ou sugestões de melhoria?"
2025/06/16 7:22:04 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,5,5,5,5,4,2,4,4,4,1,4,2,4,3,
2025/06/16 7:22:24 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,5,4,5,5,5,4,3,3,4,4,2,2,2,4,4,
2025/06/16 7:23:56 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,4,3,5,5,4,3,3,3,2,4,2,4,2,4,3,
2025/06/16 7:26:58 PM GMT-3,"Sim, concordo em participar","Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,3,5,5,3,5,3,2,4,4,4,5,2,4,5,"Algumas diretrizes podem ter títulos mais conexos com suas soluções, ou ter soluções mais amplas para caber naquele problema e seus casos de uso. O quadro de Escolhas de Privacidade e de Controle auxiliam na ligação com a LGPD e GPDR."
2025/06/16 7:27:05 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,5,4,5,4,4,3,3,3,1,3,3,2,3,3,4,
2025/06/16 7:27:07 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,5,4,4,4,5,4,3,4,1,4,1,4,1,4,2,
2025/06/16 7:27:27 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,5,5,5,4,4,1,5,1,3,1,4,1,4,1,Seria legal ter um índice central com todos os tópicos para não precisar navegar em árvore 
2025/06/16 7:29:26 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Tenho graduação.,Área de Design.,Tenho mais de 5 anos de experiência profissional.,5,5,5,4,5,5,3,3,4,3,1,3,4,4,4,
2025/06/16 7:30:16 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,5,5,5,5,5,4,2,4,2,3,1,4,1,5,1,
2025/06/16 7:30:47 PM GMT-3,"Sim, concordo em participar",Nunca tinha tido contato com o tema.,Estou cursando graduação.,Área de TI.,Não tenho experiência profissional,4,4,5,4,2,3,3,3,2,4,1,4,3,4,1,
2025/06/16 7:31:34 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,4,2,3,3,4,3,3,2,2,3,3,4,2,2,2,
2025/06/16 7:34:42 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Não tenho experiência profissional,5,3,4,5,4,3,2,4,1,3,1,5,1,3,2,
2025/06/16 7:36:18 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho esperiência em outras áreas,3,3,5,4,2,3,4,2,4,3,2,2,3,2,3,
2025/06/16 7:45:00 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,4,4,5,4,3,2,5,1,3,1,4,1,4,1,
2025/06/16 7:45:20 PM GMT-3,"Sim, concordo em participar",Nunca tinha tido contato com o tema.,Estou cursando graduação.,Área de TI.,Não tenho experiência profissional,5,5,5,5,5,4,2,4,1,5,1,5,1,3,2,
2025/06/16 7:47:25 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,4,5,4,4,3,1,5,1,5,1,4,1,3,2,
2025/06/16 7:51:56 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,4,3,5,5,4,4,2,4,3,3,2,4,2,4,1,
2025/06/16 7:52:06 PM GMT-3,"Sim, concordo em participar",Nunca tinha tido contato com o tema.,Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,4,2,4,4,3,3,4,3,4,4,3,3,5,2,4,
2025/06/16 8:11:00 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,5,5,5,5,4,2,4,3,5,1,4,3,3,2,
2025/06/30 11:08:51 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,5,5,5,5,3,2,5,4,5,2,5,5,5,5,
2025/06/30 11:20:36 PM GMT-3,"Sim, concordo em participar",Já apliquei proteção de dados pessoais em desenvolvimento de sistemas.,Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,5,5,5,5,4,1,5,1,5,1,5,1,5,2,
2025/07/01 9:27:36 AM GMT-3,"Sim, concordo em participar","Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,4,5,5,5,4,3,1,4,3,3,2,4,2,3,2,
